data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
mel-adem-53-seriennummer,regenerations-cmd-code,regenerations-code
mel-adem-53-seriennummer,regenerations-cmd-code,regenerations-code
mel-adem-53-seriennummer,,123456-MD-654321
mel-adem-53-seriennummer,,AA95A9-MD-E82B30
mel-adem-53-seriennummer,,A105A9-MD-E8D435
mel-adem-53-seriennummer,,BBC5A9-MD-E8FD16
mel-adem-53-seriennummer,,989B7A-MD-E8F688
202553CMD1001-2,1EDB9A-MC-E810D2,
202453MD1182-1,,AAA1AA-MD-E8A3B1
201953MD1306-2,,A6628B-MD-E82B1F
201953CMD1044-1,B2BCB9-MC-E8E1EE,B2BCB9-MC-E8E1EE
1153MD1249-1,,C341B9-MD-E87338
202353MD1306-2,,22855B-MD-E810E6
202553MD1852-1,,B825A9-MD-E89044
202153MD1194-2,,D7B5A9-MD-E8D3A3
1153MD1153-2,,10F77B-MD-E8990B
202653MD1206-1,,1C71AC-MD-E8921F
202453MD1221-1,,58FE0B-MD-E84889
202153MD1712-2,,E1528B-MD-E8D787
202553MD1149-2,,21528B-MD-E880D1
201553MD1653-3,,60528B-MD-E82AE2
202453MD1627-1,,83428B-MD-E8502F
202553MD1587-1,,26EF5B-MD-E8D415
202353MD1613-2,,EF15A9-MD-E866F1
202153MD1824-2,,0C45A9-MD-E834FE
201953MD1522-2,,CCDE0B-MD-E8EB70
202453MD1710-1,,EEC5A9-MD-E8A9F8
1453MD1720-2,,CFCE0B-MD-E88421
201653MD1553-2,,D9AE0B-MD-E845F8
201953MD1755-1,,96428B-MD-E8130C
202453MD1020-2,,C3EE0B-MD-E853B5
1453MD1200-2,,4E8BBC-MD-E8649F 
1453MD1200-2,,4E8BBC-MD-E8649F 
202453MD1273-2,,EB94A9-MD-E814FF
202553CMD1119-2,6D29EC-MC-E8B8B1,6D29EC-MC-E8B8B1
202253MD1764-1,,OA8EOB-MD-E88E77
202553CMD1036-1,BA9CB9-MC-E86B5F,
201853CMD1010-2,CABCB9-MC-E8D6EA,CABCB9-MC-E8D6EA
202553CMD1044-2,48780B-MC-E86A9A,48780B-MC-E86A9A
202353MD1443-2,,6B3E0B-MD-E87321
202353MD1443-1,,9E2E0B-MD-E87E0D
201653MD1373-2,,1E85A9-MD-E8FE76
202453MD1458-2,,15A4A9-MD-E833B5
202553MD1754-2,,42187B-MD-E8977D
202253MD1666-2,,MD53
202253MD1898-1,,23B5A9-MD-E88A77
